scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
HCM,Multi-territory MI (μ=1.7),37,All Regions,-1,Septal,3,Diseased,MCMC,0.026725,,0.127085,1.666283,1.666283,1.000000,0.026725
HCM,Multi-territory MI (μ=1.7),37,All Regions,-1,Apical,4,Diseased,MCMC,0.000624,,0.051612,0.827178,0.827178,1.000000,0.000624
HCM,Multi-territory MI (μ=1.7),38,All Regions,-1,Anterior,0,Diseased,MCMC,0.001204,,0.069354,1.108123,1.108123,1.000000,0.001204
HCM,Multi-territory MI (μ=1.7),38,All Regions,-1,Inferior,1,Diseased,MCMC,0.002591,,0.124282,2.121992,2.121992,1.000000,0.002591
HCM,Multi-territory MI (μ=1.7),38,All Regions,-1,Lateral,2,Diseased,MCMC,0.006818,,0.062942,0.833798,0.833798,1.000000,0.006818
HCM,Multi-territory MI (μ=1.7),38,All Regions,-1,Septal,3,Diseased,MCMC,0.048869,,0.134252,1.317556,1.317556,1.000000,0.048869
HCM,Multi-territory MI (μ=1.7),38,All Regions,-1,Apical,4,Diseased,MCMC,0.000458,,0.045299,0.754471,0.754471,1.000000,0.000458
HCM,Multi-territory MI (μ=1.7),39,All Regions,-1,Anterior,0,Diseased,MCMC,0.000645,,0.083573,1.274230,1.274230,1.000000,0.000645
HCM,Multi-territory MI (μ=1.7),39,All Regions,-1,Inferior,1,Diseased,MCMC,0.011497,,0.125116,1.993039,1.993039,1.000000,0.011497
HCM,Multi-territory MI (μ=1.7),39,All Regions,-1,Lateral,2,Diseased,MCMC,0.004130,,0.064011,0.964274,0.964274,1.000000,0.004130
HCM,Multi-territory MI (μ=1.7),39,All Regions,-1,Septal,3,Diseased,MCMC,0.013409,,0.114022,1.630520,1.630520,1.000000,0.013409
HCM,Multi-territory MI (μ=1.7),39,All Regions,-1,Apical,4,Diseased,MCMC,0.000110,,0.043955,0.731456,0.731456,1.000000,0.000110
HCM,Multi-territory MI (μ=1.7),40,All Regions,-1,Anterior,0,Diseased,MCMC,0.000815,,0.088269,1.413640,1.413640,1.000000,0.000815
HCM,Multi-territory MI (μ=1.7),40,All Regions,-1,Inferior,1,Diseased,MCMC,0.002455,,0.128407,2.158289,2.158289,1.000000,0.002455
HCM,Multi-territory MI (μ=1.7),40,All Regions,-1,Lateral,2,Diseased,MCMC,0.001646,,0.057934,0.889584,0.889584,1.000000,0.001646
HCM,Multi-territory MI (μ=1.7),40,All Regions,-1,Septal,3,Diseased,MCMC,0.016391,,0.113300,1.633818,1.633818,1.000000,0.016391
HCM,Multi-territory MI (μ=1.7),40,All Regions,-1,Apical,4,Diseased,MCMC,0.000406,,0.052277,0.887729,0.887729,1.000000,0.000406
HCM,Multi-territory MI (μ=1.7),41,All Regions,-1,Anterior,0,Diseased,MCMC,0.001660,,0.076750,1.152003,1.152003,1.000000,0.001660
HCM,Multi-territory MI (μ=1.7),41,All Regions,-1,Inferior,1,Diseased,MCMC,0.003571,,0.107962,1.829583,1.829583,1.000000,0.003571
HCM,Multi-territory MI (μ=1.7),41,All Regions,-1,Lateral,2,Diseased,MCMC,0.000459,,0.051986,0.842361,0.842361,1.000000,0.000459
HCM,Multi-territory MI (μ=1.7),41,All Regions,-1,Septal,3,Diseased,MCMC,0.074644,,0.166480,1.659439,1.659439,1.000000,0.074644
HCM,Multi-territory MI (μ=1.7),41,All Regions,-1,Apical,4,Diseased,MCMC,0.000732,,0.050662,0.785349,0.785349,1.000000,0.000732
HCM,Multi-territory MI (μ=1.7),42,All Regions,-1,Anterior,0,Diseased,MCMC,0.001649,,0.067789,1.051455,1.051455,1.000000,0.001649
HCM,Multi-territory MI (μ=1.7),42,All Regions,-1,Inferior,1,Diseased,MCMC,0.016732,,0.131675,1.887861,1.887861,1.000000,0.016732
HCM,Multi-territory MI (μ=1.7),42,All Regions,-1,Lateral,2,Diseased,MCMC,0.002042,,0.046624,0.680357,0.680357,1.000000,0.002042
HCM,Multi-territory MI (μ=1.7),42,All Regions,-1,Septal,3,Diseased,MCMC,0.057606,,0.158029,1.794403,1.794403,1.000000,0.057606
HCM,Multi-territory MI (μ=1.7),42,All Regions,-1,Apical,4,Diseased,MCMC,0.000940,,0.048919,0.833898,0.833898,1.000000,0.000940
HCM,Multi-territory MI (μ=1.7),43,All Regions,-1,Anterior,0,Diseased,MCMC,0.001370,,0.066254,1.030024,1.030024,1.000000,0.001370
HCM,Multi-territory MI (μ=1.7),43,All Regions,-1,Inferior,1,Diseased,MCMC,0.005172,,0.112367,1.978740,1.978740,1.000000,0.005172
HCM,Multi-territory MI (μ=1.7),43,All Regions,-1,Lateral,2,Diseased,MCMC,0.003884,,0.060083,0.908025,0.908025,1.000000,0.003884
HCM,Multi-territory MI (μ=1.7),43,All Regions,-1,Septal,3,Diseased,MCMC,0.028356,,0.112618,1.333615,1.333615,1.000000,0.028356
HCM,Multi-territory MI (μ=1.7),43,All Regions,-1,Apical,4,Diseased,MCMC,0.000019,,0.038121,0.676311,0.676311,1.000000,0.000019
HCM,Multi-territory MI (μ=1.7),44,All Regions,-1,Anterior,0,Diseased,MCMC,0.001477,,0.077069,1.126129,1.126129,1.000000,0.001477
HCM,Multi-territory MI (μ=1.7),44,All Regions,-1,Inferior,1,Diseased,MCMC,0.008621,,0.116930,1.859182,1.859182,1.000000,0.008621
HCM,Multi-territory MI (μ=1.7),44,All Regions,-1,Lateral,2,Diseased,MCMC,0.003366,,0.057551,0.851784,0.851784,1.000000,0.003366
HCM,Multi-territory MI (μ=1.7),44,All Regions,-1,Septal,3,Diseased,MCMC,0.017408,,0.127717,1.746280,1.746280,1.000000,0.017408
HCM,Multi-territory MI (μ=1.7),44,All Regions,-1,Apical,4,Diseased,MCMC,0.000424,,0.042543,0.704304,0.704304,1.000000,0.000424
HCM,Multi-territory MI (μ=1.7),45,All Regions,-1,Anterior,0,Diseased,MCMC,0.002690,,0.065499,1.067165,1.067165,1.000000,0.002690
HCM,Multi-territory MI (μ=1.7),45,All Regions,-1,Inferior,1,Diseased,MCMC,0.004116,,0.106052,1.620692,1.620692,1.000000,0.004116
HCM,Multi-territory MI (μ=1.7),45,All Regions,-1,Lateral,2,Diseased,MCMC,0.002366,,0.055085,0.887364,0.887364,1.000000,0.002366
HCM,Multi-territory MI (μ=1.7),45,All Regions,-1,Septal,3,Diseased,MCMC,0.075325,,0.173533,1.719523,1.719523,1.000000,0.075325
HCM,Multi-territory MI (μ=1.7),45,All Regions,-1,Apical,4,Diseased,MCMC,0.001640,,0.050294,0.810093,0.810093,1.000000,0.001640
HCM,Multi-territory MI (μ=1.7),46,All Regions,-1,Anterior,0,Diseased,MCMC,0.000261,,0.057340,0.958746,0.958746,1.000000,0.000261
HCM,Multi-territory MI (μ=1.7),46,All Regions,-1,Inferior,1,Diseased,MCMC,0.004397,,0.117855,2.062981,2.062981,1.000000,0.004397
HCM,Multi-territory MI (μ=1.7),46,All Regions,-1,Lateral,2,Diseased,MCMC,0.001110,,0.045204,0.743937,0.743937,1.000000,0.001110
HCM,Multi-territory MI (μ=1.7),46,All Regions,-1,Septal,3,Diseased,MCMC,0.066973,,0.163742,2.022090,2.022090,1.000000,0.066973
HCM,Multi-territory MI (μ=1.7),46,All Regions,-1,Apical,4,Diseased,MCMC,0.000178,,0.046243,0.699534,0.699534,1.000000,0.000178
HCM,Multi-territory MI (μ=1.7),47,All Regions,-1,Anterior,0,Diseased,MCMC,0.000058,,0.063359,1.059341,1.059341,1.000000,0.000058
HCM,Multi-territory MI (μ=1.7),47,All Regions,-1,Inferior,1,Diseased,MCMC,0.005141,,0.133223,2.241464,2.241464,1.000000,0.005141
HCM,Multi-territory MI (μ=1.7),47,All Regions,-1,Lateral,2,Diseased,MCMC,0.002547,,0.058943,0.878105,0.878105,1.000000,0.002547
HCM,Multi-territory MI (μ=1.7),47,All Regions,-1,Septal,3,Diseased,MCMC,0.037736,,0.139318,1.710199,1.710199,1.000000,0.037736
HCM,Multi-territory MI (μ=1.7),47,All Regions,-1,Apical,4,Diseased,MCMC,0.000159,,0.042943,0.708932,0.708932,1.000000,0.000159
HCM,Multi-territory MI (μ=1.7),48,All Regions,-1,Anterior,0,Diseased,MCMC,0.002403,,0.054964,0.810568,0.810568,1.000000,0.002403
HCM,Multi-territory MI (μ=1.7),48,All Regions,-1,Inferior,1,Diseased,MCMC,0.017540,,0.114378,1.528019,1.528019,1.000000,0.017540
HCM,Multi-territory MI (μ=1.7),48,All Regions,-1,Lateral,2,Diseased,MCMC,0.000517,,0.046423,0.729782,0.729782,1.000000,0.000517
HCM,Multi-territory MI (μ=1.7),48,All Regions,-1,Septal,3,Diseased,MCMC,0.067759,,0.153392,1.441793,1.441793,1.000000,0.067759
HCM,Multi-territory MI (μ=1.7),48,All Regions,-1,Apical,4,Diseased,MCMC,0.000434,,0.045032,0.676049,0.676049,1.000000,0.000434
HCM,Multi-territory MI (μ=1.7),49,All Regions,-1,Anterior,0,Diseased,MCMC,0.000664,,0.061627,1.042513,1.042513,1.000000,0.000664
HCM,Multi-territory MI (μ=1.7),49,All Regions,-1,Inferior,1,Diseased,MCMC,0.001447,,0.103046,1.728430,1.728430,1.000000,0.001447
HCM,Multi-territory MI (μ=1.7),49,All Regions,-1,Lateral,2,Diseased,MCMC,0.009430,,0.065226,0.872555,0.872555,1.000000,0.009430
HCM,Multi-territory MI (μ=1.7),49,All Regions,-1,Septal,3,Diseased,MCMC,0.034279,,0.139156,1.722257,1.722257,1.000000,0.034279
HCM,Multi-territory MI (μ=1.7),49,All Regions,-1,Apical,4,Diseased,MCMC,0.000565,,0.032712,0.510247,0.510247,1.000000,0.000565
HCM,Multi-territory MI (μ=1.7),50,All Regions,-1,Anterior,0,Diseased,MCMC,0.000274,,0.066545,1.064675,1.064675,1.000000,0.000274
HCM,Multi-territory MI (μ=1.7),50,All Regions,-1,Inferior,1,Diseased,MCMC,0.010076,,0.117465,1.771800,1.771800,1.000000,0.010076
