scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
MI_3,MI Severe (μ=3.0),0,Anterior,0,Anterior,0,Diseased,MCMC,0.014030,,0.139199,2.278819,2.278819,1.000000,0.014030
MI_3,MI Severe (μ=3.0),0,Anterior,0,Inferior,1,Non-diseased,MCMC,0.279522,,0.335167,1.305877,1.305877,1.000000,0.279522
MI_3,MI Severe (μ=3.0),0,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000205,,0.031288,0.526190,0.526190,1.000000,0.000205
MI_3,MI Severe (μ=3.0),0,Anterior,0,Septal,3,Non-diseased,MCMC,0.010447,,0.084173,1.182754,1.182754,1.000000,0.010447
MI_3,MI Severe (μ=3.0),0,Anterior,0,Apical,4,Non-diseased,MCMC,0.012132,,0.070686,0.390086,0.390086,1.000000,0.012132
MI_3,MI Severe (μ=3.0),1,Anterior,0,Anterior,0,Diseased,MCMC,0.006478,,0.132238,2.151850,2.151850,1.000000,0.006478
MI_3,MI Severe (μ=3.0),1,Anterior,0,Inferior,1,Non-diseased,MCMC,0.171822,,0.258826,1.078805,1.078805,1.000000,0.171822
MI_3,MI Severe (μ=3.0),1,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000438,,0.036222,0.583207,0.583207,1.000000,0.000438
MI_3,MI Severe (μ=3.0),1,Anterior,0,Septal,3,Non-diseased,MCMC,0.006815,,0.085477,1.370961,1.370961,1.000000,0.006815
MI_3,MI Severe (μ=3.0),1,Anterior,0,Apical,4,Non-diseased,MCMC,0.002045,,0.032696,0.459914,0.459914,1.000000,0.002045
MI_3,MI Severe (μ=3.0),2,Anterior,0,Anterior,0,Diseased,MCMC,0.007866,,0.150395,2.369567,2.369567,1.000000,0.007866
MI_3,MI Severe (μ=3.0),2,Anterior,0,Inferior,1,Non-diseased,MCMC,0.189412,,0.255671,1.339792,1.339792,1.000000,0.189412
MI_3,MI Severe (μ=3.0),2,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000526,,0.039426,0.678465,0.678465,1.000000,0.000526
MI_3,MI Severe (μ=3.0),2,Anterior,0,Septal,3,Non-diseased,MCMC,0.002187,,0.067285,1.071540,1.071540,1.000000,0.002187
MI_3,MI Severe (μ=3.0),2,Anterior,0,Apical,4,Non-diseased,MCMC,0.003033,,0.038004,0.503019,0.503019,1.000000,0.003033
MI_3,MI Severe (μ=3.0),3,Anterior,0,Anterior,0,Diseased,MCMC,0.064357,,0.203588,2.453276,2.453276,1.000000,0.064357
MI_3,MI Severe (μ=3.0),3,Anterior,0,Inferior,1,Non-diseased,MCMC,0.247808,,0.306808,1.268498,1.268498,1.000000,0.247808
MI_3,MI Severe (μ=3.0),3,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000480,,0.041103,0.684502,0.684502,1.000000,0.000480
MI_3,MI Severe (μ=3.0),3,Anterior,0,Septal,3,Non-diseased,MCMC,0.005435,,0.081104,1.148976,1.148976,1.000000,0.005435
MI_3,MI Severe (μ=3.0),3,Anterior,0,Apical,4,Non-diseased,MCMC,0.002852,,0.035343,0.455045,0.455045,1.000000,0.002852
MI_3,MI Severe (μ=3.0),4,Anterior,0,Anterior,0,Diseased,MCMC,0.002795,,0.132980,2.127371,2.127371,1.000000,0.002795
MI_3,MI Severe (μ=3.0),4,Anterior,0,Inferior,1,Non-diseased,MCMC,0.222908,,0.298897,1.260107,1.260107,1.000000,0.222908
MI_3,MI Severe (μ=3.0),4,Anterior,0,Lateral,2,Non-diseased,MCMC,0.002050,,0.045460,0.677926,0.677926,1.000000,0.002050
MI_3,MI Severe (μ=3.0),4,Anterior,0,Septal,3,Non-diseased,MCMC,0.007367,,0.081743,1.229322,1.229322,1.000000,0.007367
MI_3,MI Severe (μ=3.0),4,Anterior,0,Apical,4,Non-diseased,MCMC,0.005882,,0.048007,0.408348,0.408348,1.000000,0.005882
MI_3,MI Severe (μ=3.0),5,Anterior,0,Anterior,0,Diseased,MCMC,0.027392,,0.170433,2.493866,2.493866,1.000000,0.027392
MI_3,MI Severe (μ=3.0),5,Anterior,0,Inferior,1,Non-diseased,MCMC,0.183631,,0.259988,1.359989,1.359989,1.000000,0.183631
MI_3,MI Severe (μ=3.0),5,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000147,,0.037420,0.643108,0.643108,1.000000,0.000147
MI_3,MI Severe (μ=3.0),5,Anterior,0,Septal,3,Non-diseased,MCMC,0.006247,,0.080877,1.253102,1.253102,1.000000,0.006247
