scenario,scenario_display,sample_idx,target_region,target_region_idx,aggregate_type,method,mse,mae,crps,interval_score,ci_width,coverage
MI_1,MI Mild (μ=1.5),27,Inferior,1,Non-diseased Avg,Point Estimate,0.008161,0.073878,0.073878,,0.000000,
MI_1,MI Mild (μ=1.5),27,Inferior,1,Non-diseased Avg,MCMC,0.016803,,0.069574,0.651983,0.651983,1.000000
MI_1,MI Mild (μ=1.5),28,Inferior,1,Overall Avg,Point Estimate,0.026098,0.104778,0.104778,,0.000000,
MI_1,MI Mild (μ=1.5),28,Inferior,1,Overall Avg,MCMC,0.053947,,0.117006,0.724594,0.724594,1.000000
MI_1,MI Mild (μ=1.5),28,Inferior,1,Diseased Avg,Point Estimate,0.115478,0.339140,0.339140,,0.000000,
MI_1,MI Mild (μ=1.5),28,Inferior,1,Diseased Avg,MCMC,0.199172,,0.301100,1.002046,1.002046,1.000000
MI_1,MI Mild (μ=1.5),28,Inferior,1,Non-diseased Avg,Point Estimate,0.003753,0.046187,0.046187,,0.000000,
MI_1,MI Mild (μ=1.5),28,Inferior,1,Non-diseased Avg,MCMC,0.017641,,0.070982,0.655231,0.655231,1.000000
MI_1,MI Mild (μ=1.5),29,Inferior,1,Overall Avg,Point Estimate,0.001686,0.036824,0.036824,,0.000000,
MI_1,MI Mild (μ=1.5),29,Inferior,1,Overall Avg,MCMC,0.037475,,0.099678,0.843990,0.843990,1.000000
MI_1,MI Mild (μ=1.5),29,Inferior,1,Diseased Avg,Point Estimate,0.001628,0.031240,0.031240,,0.000000,
MI_1,MI Mild (μ=1.5),29,Inferior,1,Diseased Avg,MCMC,0.135028,,0.225957,1.276413,1.276413,1.000000
MI_1,MI Mild (μ=1.5),29,Inferior,1,Non-diseased Avg,Point Estimate,0.001700,0.038219,0.038219,,0.000000,
MI_1,MI Mild (μ=1.5),29,Inferior,1,Non-diseased Avg,MCMC,0.013087,,0.068108,0.735885,0.735885,1.000000
MI_1,MI Mild (μ=1.5),30,Inferior,1,Overall Avg,Point Estimate,0.042783,0.157797,0.157797,,0.000000,
MI_1,MI Mild (μ=1.5),30,Inferior,1,Overall Avg,MCMC,0.073878,,0.140411,1.239222,0.734478,0.800000
MI_1,MI Mild (μ=1.5),30,Inferior,1,Diseased Avg,Point Estimate,0.173277,0.416030,0.416030,,0.000000,
MI_1,MI Mild (μ=1.5),30,Inferior,1,Diseased Avg,MCMC,0.292297,,0.382609,3.372423,0.848701,0.000000
MI_1,MI Mild (μ=1.5),30,Inferior,1,Non-diseased Avg,Point Estimate,0.010160,0.093238,0.093238,,0.000000,
MI_1,MI Mild (μ=1.5),30,Inferior,1,Non-diseased Avg,MCMC,0.019273,,0.079862,0.705922,0.705922,1.000000
MI_1,MI Mild (μ=1.5),31,Inferior,1,Overall Avg,Point Estimate,0.002517,0.041946,0.041946,,0.000000,
MI_1,MI Mild (μ=1.5),31,Inferior,1,Overall Avg,MCMC,0.049780,,0.105466,0.797893,0.797893,1.000000
MI_1,MI Mild (μ=1.5),31,Inferior,1,Diseased Avg,Point Estimate,0.001483,0.033247,0.033247,,0.000000,
MI_1,MI Mild (μ=1.5),31,Inferior,1,Diseased Avg,MCMC,0.196577,,0.267040,1.438874,1.438874,1.000000
MI_1,MI Mild (μ=1.5),31,Inferior,1,Non-diseased Avg,Point Estimate,0.002775,0.044121,0.044121,,0.000000,
MI_1,MI Mild (μ=1.5),31,Inferior,1,Non-diseased Avg,MCMC,0.013081,,0.065073,0.637648,0.637648,1.000000
MI_1,MI Mild (μ=1.5),32,Inferior,1,Overall Avg,Point Estimate,0.006931,0.058035,0.058035,,0.000000,
MI_1,MI Mild (μ=1.5),32,Inferior,1,Overall Avg,MCMC,0.009994,,0.064875,0.865626,0.865626,1.000000
MI_1,MI Mild (μ=1.5),32,Inferior,1,Diseased Avg,Point Estimate,0.029781,0.172545,0.172545,,0.000000,
MI_1,MI Mild (μ=1.5),32,Inferior,1,Diseased Avg,MCMC,0.031658,,0.129958,1.680512,1.680512,1.000000
MI_1,MI Mild (μ=1.5),32,Inferior,1,Non-diseased Avg,Point Estimate,0.001219,0.029407,0.029407,,0.000000,
MI_1,MI Mild (μ=1.5),32,Inferior,1,Non-diseased Avg,MCMC,0.004578,,0.048605,0.661905,0.661905,1.000000
MI_1,MI Mild (μ=1.5),33,Inferior,1,Overall Avg,Point Estimate,0.021397,0.116630,0.116630,,0.000000,
MI_1,MI Mild (μ=1.5),33,Inferior,1,Overall Avg,MCMC,0.007542,,0.066551,0.862645,0.862645,1.000000
MI_1,MI Mild (μ=1.5),33,Inferior,1,Diseased Avg,Point Estimate,0.044909,0.211814,0.211814,,0.000000,
MI_1,MI Mild (μ=1.5),33,Inferior,1,Diseased Avg,MCMC,0.014768,,0.129468,1.744506,1.744506,1.000000
MI_1,MI Mild (μ=1.5),33,Inferior,1,Non-diseased Avg,Point Estimate,0.015519,0.092833,0.092833,,0.000000,
MI_1,MI Mild (μ=1.5),33,Inferior,1,Non-diseased Avg,MCMC,0.005735,,0.050822,0.642180,0.642180,1.000000
MI_1,MI Mild (μ=1.5),34,Inferior,1,Overall Avg,Point Estimate,0.009251,0.061558,0.061558,,0.000000,
MI_1,MI Mild (μ=1.5),34,Inferior,1,Overall Avg,MCMC,0.003152,,0.058231,0.874883,0.874883,1.000000
MI_1,MI Mild (μ=1.5),34,Inferior,1,Diseased Avg,Point Estimate,0.042582,0.206176,0.206176,,0.000000,
MI_1,MI Mild (μ=1.5),34,Inferior,1,Diseased Avg,MCMC,0.000905,,0.111995,1.910613,1.910613,1.000000
MI_1,MI Mild (μ=1.5),34,Inferior,1,Non-diseased Avg,Point Estimate,0.000919,0.025404,0.025404,,0.000000,
MI_1,MI Mild (μ=1.5),34,Inferior,1,Non-diseased Avg,MCMC,0.003714,,0.044790,0.615951,0.615951,1.000000
MI_1,MI Mild (μ=1.5),35,Inferior,1,Overall Avg,Point Estimate,0.038540,0.121246,0.121246,,0.000000,
MI_1,MI Mild (μ=1.5),35,Inferior,1,Overall Avg,MCMC,0.072022,,0.141637,1.491232,0.709147,0.800000
